model,tahun,harga,transmisi,odometer,jenis,pajak,konsumsiBBM,mesin
 BeAT Street,2018.65,10397.8,Kopling,51915.99,Skuter,298.01,88.73,85.12
 Vario 125,2015.0,26762.57,Manual,53312.48,Bebek,290.49,43.4,77.29
 BeAT,2014.46,13783.18,Kopling,9112.72,Sport,146.86,48.0,3.55
 BeAT ,2014.66,19587.09,Kopling,48624.45,Trail,208.91,124.22,140.95
 Sonic 150,2012.67,8869.18,Manual,91382.24,Trail,33.13,101.05,96.6
 Sonic 150,2013.95,33742.11,Manual,109069.73,Bebek,132.34,121.31,13.74
 BeAT,2013.96,30367.49,Automatic,50042.66,Sport,242.71,56.7,3.14
 Supra X 125,2011.42,30748.37,Manual,51229.68,Trail,151.6,43.96,7.62
 CRF 150,2017.14,16489.93,Manual,84061.4,Sport,210.81,76.8,91.41
 Supra GTR,2014.33,27583.91,Manual,112316.61,Skuter,223.73,75.98,92.1
 CB150R,2017.58,8287.79,Manual,32813.12,Trail,76.04,44.97,74.95
 CRF 150,2017.8,4067.9,Automatic,53177.93,Skuter,262.71,99.12,46.01
 Verza,2012.7,4422.14,Automatic,95044.42,Trail,137.95,63.09,79.76
 Sonic 150,2016.26,22100.39,Manual,73126.94,Bebek,63.06,46.08,77.45
 BeAT ,2014.78,18006.87,Manual,14402.48,Trail,259.62,60.2,2.91
 Vario 125,2018.04,19960.56,Automatic,75249.41,Trail,125.35,82.67,42.37
 BeAT Street,2012.73,4031.84,Automatic,23363.38,Sport,225.09,98.47,7.98
 Sonic 150,2016.42,16986.4,Manual,61422.5,Sport,164.41,74.74,135.02
 Vario 125,2015.86,26202.01,Kopling,63644.76,Skuter,114.56,78.98,108.78
 Genio,2013.36,17610.6,Automatic,104484.21,Skuter,242.96,41.48,149.42
 CRF 150,2012.09,26643.51,Automatic,55807.61,Skuter,175.34,116.73,45.33
 Genio,2016.21,11068.96,Automatic,34269.92,Trail,117.17,118.09,131.77
 Supra GTR,2016.91,29168.22,Manual,28566.27,Trail,32.88,94.29,90.46
 Revo,2013.53,22157.47,Manual,104254.6,Skuter,268.63,29.71,67.97
 Verza,2016.16,10374.6,Automatic,21511.97,Bebek,10.64,80.1,33.39
 CRF 150,2014.16,11184.44,Manual,51498.27,Bebek,258.96,89.03,110.76
 Supra X 125,2016.71,23392.92,Manual,23413.6,Trail,107.99,124.48,135.62
 Supra GTR,2012.59,29692.29,Automatic,92377.18,Bebek,191.8,124.62,35.3
 PCX,2018.12,16766.17,Manual,57205.21,Bebek,276.66,111.19,26.31
 Supra X 125,2013.3,11857.72,Kopling,42706.22,Skuter,45.51,34.19,104.43
 CB150R,2013.94,30848.9,Manual,43877.62,Bebek,170.09,120.47,146.55
 BeAT ,2011.46,24679.5,Manual,101661.67,Bebek,229.33,87.43,112.49
 CRF 150,2011.89,17778.82,Automatic,66547.49,Trail,227.28,105.69,42.69
 PCX,2015.13,19021.0,Automatic,85854.61,Trail,157.69,67.5,62.99
 PCX,2013.14,10171.6,Kopling,106935.65,Trail,187.42,59.01,57.65
 Supra GTR,2017.68,23354.62,Manual,107489.02,Bebek,227.26,72.93,127.81
 BeAT,2011.12,14991.41,Kopling,40043.05,Skuter,252.31,42.25,115.71
 Revo,2014.03,34862.13,Kopling,113455.46,Sport,228.54,62.64,88.35
 CRF 150,2013.7,18780.25,Automatic,4317.87,Trail,106.2,111.19,41.24
 BeAT,2011.15,18958.15,Manual,45729.1,Trail,299.02,31.68,140.7
 Supra GTR,2011.99,21453.01,Automatic,106789.8,Trail,130.35,42.64,98.0
 CB150R,2014.31,32400.87,Kopling,33704.5,Skuter,7.34,40.14,145.57
 BeAT Street,2014.94,28783.72,Kopling,33521.49,Sport,108.79,67.1,87.02
 Sonic 150,2014.23,17873.81,Automatic,36997.24,Sport,38.33,124.71,123.18
 Sonic 150,2015.25,26221.7,Automatic,73435.18,Trail,36.43,44.82,121.97
 Revo,2015.76,22088.96,Automatic,52964.8,Bebek,84.46,42.11,50.6
 CB150R,2011.08,19160.36,Automatic,86897.89,Trail,16.01,116.76,144.6
 Revo,2014.71,9799.06,Automatic,106685.29,Trail,206.55,113.56,3.29
 CRF 150,2018.71,18273.35,Kopling,80716.62,Bebek,22.2,31.13,115.31
 CRF 150,2015.15,11468.29,Automatic,25448.35,Bebek,60.99,100.92,144.83
 Vario 125,2016.42,32341.16,Manual,111129.42,Trail,27.87,91.58,50.84
 BeAT,2013.49,14263.36,Kopling,32510.97,Skuter,18.95,102.47,97.22
 Sonic 150,2017.19,33508.68,Kopling,19027.41,Skuter,80.33,75.97,84.33
 PCX,2017.18,20429.79,Manual,11976.46,Bebek,171.57,124.16,114.23
 BeAT,2015.17,23502.55,Manual,67678.17,Trail,289.41,32.25,129.93
 Verza,2018.81,20738.2,Kopling,14776.18,Skuter,262.67,50.73,90.46
 CRF 150,2012.0,7835.55,Automatic,17719.23,Trail,262.78,66.46,122.39
 BeAT ,2011.14,15524.25,Kopling,36692.29,Trail,52.82,71.63,46.84
 CB150R,2017.16,6892.26,Kopling,34530.01,Trail,79.47,117.37,34.29
 Supra X 125,2017.46,23234.54,Manual,72485.22,Skuter,22.92,82.32,64.6
 Revo,2011.96,17741.03,Kopling,97488.43,Sport,233.54,32.38,101.66
 CRF 150,2013.12,28071.35,Automatic,90970.64,Trail,20.94,67.56,28.09
 BeAT,2011.14,10677.46,Manual,32274.66,Skuter,167.01,68.4,102.05
 BeAT ,2013.35,8933.3,Kopling,30253.99,Sport,74.36,121.65,59.11
 BeAT,2017.19,16476.16,Kopling,115025.07,Bebek,73.03,86.12,119.34
 Supra X 125,2015.14,32707.54,Automatic,2360.07,Skuter,297.22,89.66,5.53
 BeAT ,2013.78,25963.45,Kopling,104898.04,Sport,227.03,97.19,100.2
 Verza,2013.97,16869.0,Kopling,24890.86,Skuter,251.08,102.69,97.47
 Supra X 125,2011.01,19937.37,Kopling,112847.53,Sport,171.59,89.6,141.14
 Supra GTR,2013.4,6426.36,Kopling,41666.53,Sport,261.3,51.01,107.01
 Genio,2016.17,34516.78,Automatic,53202.35,Skuter,193.65,112.78,119.45
 Supra GTR,2018.79,24590.24,Kopling,84590.1,Bebek,283.85,99.02,135.69
 Sonic 150,2017.78,12703.32,Kopling,70535.55,Trail,84.4,99.96,101.26
 BeAT,2011.19,22075.64,Kopling,38799.42,Sport,178.6,124.67,43.52
 CRF 150,2018.19,7214.74,Manual,66554.19,Trail,207.04,105.85,130.47
 CRF 150,2017.27,33932.14,Automatic,87365.24,Bebek,117.88,108.43,112.14
 CRF 150,2017.24,9252.12,Manual,6372.09,Trail,263.91,120.29,63.67
 Genio,2014.66,24016.9,Manual,2708.7,Trail,293.94,42.66,106.58
 Supra GTR,2014.18,11456.93,Automatic,55286.7,Skuter,148.13,76.28,130.15
 Genio,2013.42,26186.2,Manual,16902.76,Skuter,117.19,84.32,146.35
 BeAT Street,2011.53,28035.05,Manual,79557.08,Bebek,141.58,59.94,142.85
 BeAT,2012.83,24809.02,Manual,26576.2,Skuter,255.82,109.42,48.8
 Genio,2012.97,22970.77,Automatic,52319.83,Sport,193.64,101.95,63.25
 PCX,2014.87,31643.14,Kopling,24648.76,Bebek,13.43,97.93,16.43
 Revo,2016.98,6252.07,Automatic,65925.03,Skuter,162.65,124.72,37.13
 Revo,2014.79,14123.21,Automatic,15045.73,Skuter,5.19,53.16,132.36
 PCX,2011.46,11545.32,Automatic,4109.73,Bebek,233.56,99.34,54.13
 BeAT ,2018.66,34624.05,Manual,7407.1,Sport,98.49,81.49,93.08
 Vario 125,2018.54,15947.57,Kopling,113668.09,Bebek,141.6,58.36,99.89
 BeAT ,2017.28,26655.78,Automatic,18132.25,Skuter,239.6,43.58,117.27
 Supra X 125,2018.93,25161.74,Automatic,84749.84,Skuter,13.93,114.9,27.42
 Supra X 125,2015.36,10415.72,Kopling,9383.13,Bebek,47.56,85.76,45.72
 Genio,2018.7,11255.49,Kopling,14117.04,Sport,119.39,108.02,67.25
 Supra GTR,2011.6,12574.8,Kopling,61264.87,Sport,68.98,80.9,54.73
 Supra GTR,2013.93,16625.76,Manual,56087.25,Trail,101.37,49.34,147.44
 Revo,2012.8,11109.71,Kopling,113352.99,Sport,299.45,60.74,125.24
 CB150R,2012.57,4412.11,Manual,112559.39,Bebek,247.62,65.01,71.95
 BeAT ,2012.13,31235.18,Automatic,93118.97,Sport,265.17,122.37,131.89
 BeAT Street,2015.98,33925.06,Manual,72233.7,Sport,281.12,28.55,52.15
 BeAT,2017.25,14455.65,Kopling,54921.18,Trail,102.28,123.61,117.87
 Sonic 150,2015.63,14360.08,Manual,43298.61,Sport,89.12,123.1,33.55
 Verza,2012.18,4020.26,Kopling,112824.37,Trail,70.22,124.63,115.85
 Supra GTR,2017.49,25022.14,Manual,72328.65,Trail,249.04,74.23,68.47
 BeAT,2016.09,29551.9,Automatic,69524.09,Sport,203.87,121.49,16.12
 Verza,2014.11,8373.03,Manual,28676.25,Skuter,70.85,66.37,40.99
 BeAT,2016.39,8780.43,Automatic,6885.42,Bebek,113.1,30.55,60.34
 Genio,2013.08,28448.81,Kopling,112600.94,Bebek,152.01,49.76,112.39
 Verza,2013.76,23026.66,Automatic,38304.78,Sport,158.44,119.69,10.95
 Sonic 150,2018.34,5198.6,Kopling,53465.58,Bebek,266.62,29.34,98.93
 BeAT,2013.32,23221.84,Kopling,14879.42,Bebek,114.17,80.96,107.4
 PCX,2014.76,13436.92,Automatic,99862.68,Trail,272.56,35.33,98.09
 Sonic 150,2018.12,15302.86,Automatic,4642.13,Skuter,132.41,55.78,114.1
 Verza,2016.66,27813.85,Manual,99517.52,Bebek,223.91,36.55,26.73
 Sonic 150,2011.5,29099.37,Manual,17896.79,Skuter,279.08,111.37,88.07
 BeAT,2012.18,16289.73,Automatic,105703.25,Bebek,272.27,85.33,141.17
 Vario 125,2011.06,33349.22,Automatic,87255.32,Skuter,17.09,115.5,91.62
 BeAT,2016.05,16480.23,Automatic,20765.94,Skuter,61.71,94.77,91.7
 BeAT,2014.58,27879.51,Automatic,67964.58,Bebek,143.07,122.19,110.47
 Genio,2012.07,18895.49,Kopling,38177.83,Trail,129.47,77.46,49.98
 BeAT ,2018.66,31801.11,Automatic,22361.73,Skuter,192.27,89.95,105.07
 PCX,2015.24,32120.24,Automatic,102481.52,Skuter,283.41,83.9,137.44
 BeAT Street,2012.94,6526.32,Automatic,48869.09,Bebek,33.72,74.97,1.63
 Supra GTR,2015.0,33016.66,Automatic,48283.25,Skuter,135.56,110.06,130.52
 Supra X 125,2016.44,29554.86,Kopling,21379.7,Skuter,57.72,90.52,32.79
 BeAT ,2011.61,28487.1,Manual,46462.12,Trail,268.23,105.73,68.39
 Supra X 125,2013.2,10067.23,Manual,103944.57,Skuter,289.37,104.28,127.85
 Genio,2017.46,28917.91,Manual,44116.36,Trail,143.61,46.53,123.59
 PCX,2014.68,30322.29,Manual,113355.72,Skuter,31.2,91.07,133.79
 CRF 150,2015.37,12820.2,Manual,112732.76,Skuter,235.59,47.37,141.06
 BeAT,2014.46,33508.56,Kopling,18439.63,Trail,209.14,84.58,67.07
 CRF 150,2011.35,5354.59,Manual,22253.26,Trail,106.4,93.71,98.45
 CRF 150,2012.33,8476.02,Kopling,102892.37,Sport,266.22,124.73,58.57
 Revo,2014.56,20570.99,Kopling,47602.86,Skuter,292.75,30.96,52.61
 CRF 150,2012.67,21763.15,Manual,1905.64,Trail,167.36,36.85,64.74
 Supra GTR,2011.4,23927.04,Manual,33614.48,Skuter,169.72,35.47,111.46
 Vario 125,2017.75,4328.42,Manual,71707.43,Skuter,89.25,66.64,75.22
 Revo,2018.85,33761.48,Automatic,95431.83,Skuter,175.35,107.69,122.11
 Genio,2017.35,5190.1,Kopling,17085.37,Bebek,131.89,109.87,111.78
 BeAT ,2017.83,8262.39,Manual,14397.19,Sport,90.66,99.49,3.07
 Vario 125,2012.94,4236.24,Automatic,109883.5,Bebek,20.16,115.0,94.54
 Sonic 150,2018.69,21484.42,Kopling,89770.37,Sport,75.81,59.32,65.49
 Verza,2012.58,32884.79,Automatic,70783.88,Skuter,59.36,36.55,68.49
 Vario 125,2018.61,24575.89,Automatic,91892.75,Skuter,162.61,33.64,122.76
 BeAT Street,2018.96,29465.09,Manual,51849.58,Trail,180.5,110.66,82.14
 CRF 150,2016.69,4213.36,Kopling,90630.14,Sport,182.57,98.85,132.84
 Genio,2018.85,20709.34,Automatic,45136.97,Sport,116.45,95.77,106.92
 CB150R,2015.56,18136.91,Kopling,30110.92,Bebek,126.37,60.95,82.93
 Verza,2013.08,19366.3,Manual,87165.99,Sport,250.27,64.85,113.18
 Supra X 125,2014.5,6051.98,Kopling,50769.22,Skuter,142.87,120.94,5.75
 Supra GTR,2015.75,25152.7,Automatic,116858.85,Trail,296.33,34.19,4.06
 Supra X 125,2011.58,19498.97,Automatic,42511.08,Bebek,131.89,103.05,12.5
 Vario 125,2015.98,27670.88,Kopling,109840.53,Trail,194.87,58.03,65.63
 Supra X 125,2018.85,18939.58,Automatic,111162.44,Sport,15.11,31.79,35.32
 BeAT Street,2012.52,8459.56,Automatic,29847.18,Sport,196.0,100.03,147.64
 Genio,2017.34,24023.97,Automatic,95308.91,Bebek,255.43,60.1,81.34
 Sonic 150,2018.26,9177.28,Manual,52346.11,Sport,282.74,98.05,99.36
 BeAT ,2018.55,31016.84,Manual,109346.04,Trail,299.2,96.64,41.82
 Supra GTR,2018.68,22927.61,Automatic,54352.17,Skuter,84.65,79.87,48.27
 BeAT Street,2015.17,8703.6,Kopling,88965.03,Bebek,172.61,103.41,50.32
 BeAT Street,2018.82,33822.99,Manual,56333.92,Sport,135.22,84.36,104.81
 Supra X 125,2017.06,19971.48,Kopling,28193.81,Trail,169.15,55.8,71.06
 CRF 150,2012.29,6073.36,Automatic,24846.34,Skuter,47.24,99.21,77.65
 Supra X 125,2014.82,23355.56,Automatic,51446.81,Sport,256.84,85.15,88.8
 Vario 125,2016.75,11698.55,Kopling,90281.75,Bebek,272.87,29.23,115.32
 BeAT ,2012.98,28873.43,Manual,72583.11,Sport,134.9,115.46,13.56
 Revo,2016.12,29314.23,Kopling,82414.43,Sport,84.13,80.93,116.53
 Supra X 125,2016.33,34341.18,Kopling,34609.24,Sport,42.25,112.26,84.49
 Genio,2012.3,19456.83,Automatic,58036.2,Skuter,205.13,113.63,100.36
 CB150R,2015.52,17993.2,Manual,6614.5,Skuter,93.67,71.16,49.13
 Supra GTR,2017.17,27306.69,Kopling,97581.05,Sport,272.86,77.24,61.41
 BeAT,2014.99,7931.95,Manual,117860.72,Sport,201.3,68.33,34.67
 Supra X 125,2011.1,20862.22,Automatic,49263.98,Bebek,193.71,71.6,146.89
 Genio,2011.07,20841.38,Manual,2680.97,Sport,167.82,114.83,74.55
 Genio,2013.86,6590.47,Automatic,21368.63,Trail,13.73,104.45,149.41
 Supra GTR,2018.41,16839.69,Manual,78166.66,Trail,279.58,40.27,73.47
 Revo,2012.83,30420.63,Kopling,73407.64,Bebek,188.38,87.2,32.96
 Genio,2016.07,30510.14,Automatic,94090.38,Skuter,298.22,124.6,76.12
 CB150R,2012.78,6895.12,Kopling,31262.74,Sport,161.21,85.77,5.94
 Genio,2013.57,6629.4,Automatic,91239.17,Bebek,213.03,104.23,135.72
 Genio,2017.78,11994.84,Manual,82338.51,Skuter,16.86,102.6,122.78
 Genio,2016.83,31090.83,Manual,39373.03,Bebek,189.52,61.98,108.87
 Sonic 150,2011.76,7820.63,Automatic,65572.59,Skuter,229.39,64.07,91.47
 Sonic 150,2014.43,26262.18,Automatic,18719.09,Sport,233.55,98.24,86.98
 Revo,2011.23,6955.27,Automatic,54639.29,Bebek,231.03,76.5,149.51
 Supra X 125,2014.85,23240.28,Manual,105071.8,Sport,67.88,83.35,41.7
 Genio,2016.3,14907.94,Automatic,50947.96,Bebek,292.62,97.15,116.95
 BeAT ,2011.95,28412.33,Automatic,100173.58,Skuter,298.55,103.42,87.21
 Supra X 125,2013.31,11089.91,Kopling,70839.62,Bebek,22.68,54.34,146.38
 Revo,2014.18,23741.46,Automatic,23967.02,Trail,280.93,42.24,124.17
 CRF 150,2018.36,11152.06,Kopling,69763.38,Trail,86.83,56.3,149.78
 CRF 150,2018.95,26064.49,Kopling,60924.49,Bebek,206.79,77.23,88.25
 PCX,2011.36,31056.88,Kopling,48294.74,Trail,101.43,61.19,30.68
 Supra X 125,2017.09,7755.09,Manual,15466.6,Sport,290.33,83.13,75.55
 Supra X 125,2013.97,30835.92,Kopling,50420.52,Trail,30.45,33.19,106.67
 Verza,2014.14,22317.95,Automatic,9952.15,Trail,149.32,77.45,116.15
 Vario 125,2017.03,7764.72,Manual,13012.07,Sport,128.41,63.69,0.08
 BeAT,2018.35,17137.88,Manual,50327.32,Sport,97.81,79.86,75.75
 Verza,2018.61,8817.68,Manual,37321.88,Skuter,193.66,68.99,35.29
 CB150R,2015.62,25649.15,Manual,110289.62,Sport,39.32,55.57,131.24
 Sonic 150,2013.86,27474.93,Manual,45596.17,Bebek,215.0,115.7,22.94
 Sonic 150,2017.3,7099.75,Manual,90559.83,Trail,294.18,45.92,99.97
 Vario 125,2013.01,19590.06,Manual,63779.39,Skuter,241.37,94.09,39.91
 Supra GTR,2015.51,29214.49,Kopling,84233.02,Sport,258.01,117.69,53.48
 Supra GTR,2013.87,33006.35,Automatic,31995.99,Trail,107.89,80.25,141.08
 Revo,2016.25,19820.24,Automatic,112214.6,Bebek,97.47,113.01,36.07
 BeAT Street,2012.92,33446.76,Kopling,63760.68,Bebek,155.11,40.11,14.25
 Vario 125,2012.53,20511.96,Kopling,99203.76,Skuter,13.72,75.9,10.39
 BeAT,2018.35,16097.35,Manual,44341.91,Bebek,283.61,72.33,75.69
 Supra X 125,2011.81,30262.09,Manual,13181.77,Trail,43.14,28.79,96.26
 Supra GTR,2015.05,19179.57,Kopling,80659.24,Sport,270.9,71.0,49.09
 BeAT,2012.77,18521.89,Manual,2303.99,Bebek,25.07,63.8,103.54
 Genio,2011.31,19096.26,Automatic,57313.5,Sport,246.79,92.97,9.16
 BeAT Street,2011.29,30217.85,Automatic,24075.88,Trail,45.59,119.02,128.6
 BeAT ,2012.4,29754.74,Manual,75207.37,Trail,11.44,36.32,122.49
 Supra X 125,2017.93,16388.42,Manual,116628.56,Sport,215.85,59.77,147.82
 CB150R,2013.26,14197.62,Manual,56032.18,Trail,84.08,71.07,140.48
 Genio,2018.6,19146.66,Automatic,97577.03,Skuter,214.35,72.15,53.43
 Genio,2015.65,21668.93,Manual,61136.38,Bebek,166.53,103.16,59.89
 Vario 125,2014.49,11234.88,Kopling,59731.04,Skuter,32.64,71.01,111.89
 BeAT Street,2015.64,28569.6,Manual,110863.7,Skuter,279.64,30.63,20.11
 Revo,2015.13,18976.78,Kopling,106103.49,Skuter,135.69,96.88,47.1
 CB150R,2017.07,14220.89,Manual,93847.5,Sport,220.33,113.83,17.78
 Supra GTR,2013.26,7131.71,Manual,36248.16,Sport,150.31,77.85,68.23
 BeAT,2013.82,11250.73,Automatic,65516.15,Trail,181.31,84.37,82.8
 Vario 125,2018.15,33415.62,Kopling,27734.52,Sport,90.83,43.8,31.67
 Supra GTR,2018.57,13317.81,Kopling,53621.79,Trail,60.11,49.4,3.99
 Vario 125,2018.14,9067.24,Kopling,58363.03,Sport,162.77,50.81,107.9
 Vario 125,2014.36,18171.53,Automatic,99240.94,Trail,132.07,69.78,3.0
 Vario 125,2017.24,13379.83,Kopling,106816.8,Bebek,117.03,118.03,146.01
 BeAT Street,2014.81,4895.93,Automatic,50174.78,Trail,201.77,78.61,33.24
 Revo,2014.98,13880.81,Manual,3474.09,Bebek,207.15,46.63,99.59
 Vario 125,2012.64,20774.64,Manual,102786.45,Trail,13.78,53.81,65.21
 PCX,2015.73,21011.87,Kopling,21896.46,Sport,101.62,65.25,8.95
 BeAT ,2012.49,14923.28,Manual,74561.01,Sport,123.53,88.46,70.83
 Supra GTR,2013.65,17754.4,Manual,4329.05,Bebek,29.07,70.68,77.51
 Supra X 125,2017.84,33922.19,Kopling,48396.53,Skuter,70.77,66.07,128.2
 Verza,2012.66,15571.9,Manual,117398.1,Skuter,15.49,82.78,109.85
 BeAT,2011.57,11855.42,Kopling,13238.51,Trail,298.87,51.46,11.9
 CB150R,2011.55,11394.93,Kopling,51242.31,Sport,220.97,35.65,31.37
 Sonic 150,2018.53,18080.8,Manual,37529.96,Skuter,26.24,30.37,46.78
 Revo,2015.06,27495.27,Manual,107882.76,Sport,6.07,52.37,17.46
 Supra X 125,2014.28,10225.63,Manual,103676.69,Sport,215.79,36.88,68.53
 Genio,2017.49,25928.33,Manual,29358.4,Sport,131.76,60.63,147.65
 CRF 150,2017.69,4458.85,Manual,10943.47,Trail,236.04,102.97,77.19
 PCX,2013.66,16869.29,Automatic,75179.48,Bebek,277.04,97.48,111.28
 Sonic 150,2016.55,28005.21,Manual,40967.81,Trail,179.79,87.26,102.44
 Verza,2017.17,14367.13,Automatic,80467.78,Skuter,56.13,110.69,127.49
 Supra X 125,2016.24,21387.03,Kopling,5170.18,Bebek,234.66,55.36,32.36
 Sonic 150,2012.21,10194.15,Manual,17086.62,Skuter,286.74,113.85,113.07
 Supra X 125,2018.01,26948.51,Manual,82148.87,Bebek,174.07,66.73,132.2
 BeAT,2015.31,5430.06,Manual,26378.32,Bebek,204.6,66.89,25.73
 PCX,2013.26,30397.48,Kopling,102293.91,Trail,101.24,67.32,52.02
 Verza,2014.4,9982.53,Automatic,8284.75,Sport,114.46,37.52,145.52
 Genio,2011.3,31079.34,Automatic,26744.39,Sport,220.4,122.62,117.12
 Vario 125,2012.02,14797.56,Manual,118880.6,Bebek,278.33,41.44,42.39
 Supra GTR,2017.12,26346.0,Manual,52346.3,Trail,188.7,61.07,84.59
 Genio,2011.0,13758.51,Manual,84101.24,Skuter,236.95,58.97,60.65
 Vario 125,2014.33,32062.54,Manual,22882.95,Skuter,51.49,35.24,73.49
 CRF 150,2015.18,7749.95,Kopling,73147.55,Sport,63.59,42.77,53.27
 BeAT Street,2011.44,9368.64,Manual,86823.91,Sport,159.61,32.35,41.9
 BeAT Street,2018.78,19181.05,Kopling,38392.01,Skuter,52.97,56.36,101.21
 BeAT Street,2012.81,6355.4,Manual,98918.21,Skuter,190.5,112.07,116.78
 Revo,2013.43,9913.39,Automatic,72388.51,Trail,87.5,60.93,131.09
 BeAT ,2013.43,33243.57,Automatic,47174.82,Skuter,237.46,40.0,23.3
 CB150R,2012.84,34264.5,Manual,67002.65,Trail,242.43,90.63,123.43
 CB150R,2011.01,15537.91,Manual,69252.1,Sport,139.14,124.67,38.22
 BeAT Street,2016.83,32604.6,Kopling,20867.72,Skuter,54.24,50.54,64.1
 Supra GTR,2018.73,20796.99,Manual,48776.09,Sport,194.03,55.12,135.22
 Verza,2012.79,12214.7,Manual,41798.7,Bebek,297.84,122.27,68.18
 PCX,2016.3,25713.14,Manual,48560.81,Bebek,186.78,45.34,29.56
 Verza,2016.94,24356.08,Automatic,90942.51,Bebek,10.73,77.59,23.98
 PCX,2017.79,34658.72,Kopling,58165.99,Skuter,5.19,51.25,70.95
 Verza,2014.38,12068.21,Automatic,112027.66,Sport,96.11,118.44,114.4
 BeAT ,2013.42,24766.58,Kopling,35944.67,Skuter,58.74,123.21,149.58
 Revo,2013.6,5422.09,Automatic,50302.27,Sport,243.92,107.03,118.11
 Revo,2016.7,7344.64,Manual,93983.55,Trail,253.44,58.53,131.55
 BeAT Street,2017.53,3921.25,Automatic,65635.71,Skuter,77.59,67.14,112.17
 CRF 150,2012.45,34981.17,Automatic,65753.78,Bebek,97.69,51.5,134.32
 Vario 125,2013.97,28829.14,Kopling,7666.95,Trail,70.87,114.4,11.44
 CRF 150,2018.22,28343.97,Kopling,48289.84,Sport,272.51,116.71,139.49
 Sonic 150,2017.45,19701.94,Automatic,33245.26,Skuter,150.79,68.63,59.46
 Revo,2018.88,13160.79,Kopling,118971.77,Sport,196.84,91.68,138.24
 Revo,2017.03,8518.29,Kopling,37671.75,Sport,124.64,44.06,11.36
 Genio,2014.15,12680.57,Kopling,105459.98,Skuter,189.3,70.19,107.29
 Genio,2015.73,15528.93,Kopling,80955.99,Skuter,115.76,89.26,110.35
 Vario 125,2016.29,27395.12,Kopling,41502.88,Sport,101.9,65.38,149.54
 BeAT,2011.63,20635.91,Automatic,65342.71,Sport,190.34,62.69,115.33
 Sonic 150,2015.36,6216.41,Kopling,100287.61,Trail,177.32,28.1,57.39
 CRF 150,2016.67,4361.49,Manual,105327.23,Bebek,88.06,106.02,83.59
 Supra GTR,2012.34,6991.66,Automatic,20262.78,Sport,44.8,114.27,54.98
 Genio,2017.25,16606.15,Automatic,41344.84,Bebek,110.57,122.04,29.4
 Supra GTR,2015.67,32913.69,Automatic,40833.02,Trail,124.56,97.77,37.28
 Supra X 125,2018.62,23685.32,Kopling,6337.95,Bebek,188.61,81.23,33.3
 Genio,2011.34,28815.17,Manual,71779.06,Bebek,274.36,54.12,82.32
 BeAT ,2013.12,18349.42,Kopling,101968.27,Trail,10.86,124.93,135.92
 BeAT,2015.81,15082.62,Automatic,46286.66,Sport,73.1,85.21,136.91
 Sonic 150,2013.37,7180.98,Automatic,88462.89,Bebek,58.11,94.07,8.21
 Vario 125,2016.72,31127.23,Automatic,75245.6,Sport,150.69,94.19,11.98
 Supra X 125,2017.07,28232.81,Automatic,45589.45,Sport,128.91,109.99,36.77
 Sonic 150,2011.82,9044.12,Kopling,17987.95,Skuter,218.71,28.94,38.26
 CRF 150,2015.11,19781.02,Manual,84849.34,Sport,72.72,49.36,14.23
 BeAT Street,2015.07,19004.61,Manual,101938.28,Sport,178.35,92.56,58.27
 BeAT ,2013.95,23301.23,Automatic,82087.95,Bebek,265.16,114.83,88.16
 Sonic 150,2018.46,33319.08,Manual,3494.56,Sport,273.2,94.48,86.72
 BeAT ,2017.62,21887.29,Automatic,26832.75,Sport,287.64,68.11,81.51
 BeAT ,2016.58,20653.24,Automatic,9565.95,Skuter,231.98,63.07,50.8
 Supra GTR,2016.71,5369.03,Manual,68502.06,Skuter,271.8,99.58,105.97
 Verza,2014.69,5761.65,Automatic,90397.41,Bebek,70.36,99.9,123.97
 BeAT Street,2018.37,9644.03,Manual,14401.64,Bebek,59.27,86.88,51.94
 CRF 150,2016.56,4812.06,Automatic,100028.99,Skuter,1.95,56.27,12.83
 Supra X 125,2016.83,26990.87,Manual,66751.63,Skuter,212.05,117.74,44.45
 Sonic 150,2017.89,26366.18,Automatic,82572.06,Trail,281.24,81.53,20.61
 PCX,2013.19,8043.82,Manual,115685.17,Sport,56.08,104.68,70.1
 Supra X 125,2017.46,29883.83,Automatic,11236.82,Bebek,191.08,48.79,23.39
 Verza,2012.56,8628.17,Automatic,107428.12,Bebek,223.94,61.37,69.43
 Supra X 125,2013.76,13195.38,Automatic,16228.12,Sport,278.28,112.83,33.15
 Revo,2013.68,11566.83,Manual,47626.14,Sport,194.06,32.86,110.81
 CRF 150,2018.83,15414.61,Kopling,101570.43,Bebek,291.09,77.69,4.14
 PCX,2017.85,11744.25,Automatic,108019.97,Skuter,103.4,74.73,83.21
 Verza,2016.61,19053.78,Automatic,60970.18,Skuter,104.98,100.87,25.42
 Supra GTR,2016.82,16509.72,Manual,71292.76,Sport,162.9,55.34,0.15
 Sonic 150,2015.5,34578.98,Automatic,84710.91,Bebek,115.05,49.25,130.38
 BeAT,2018.58,5543.85,Automatic,99372.55,Sport,0.43,117.83,100.73
 CB150R,2014.97,8234.92,Automatic,15687.88,Skuter,219.53,83.46,14.84
 Verza,2014.04,5447.12,Automatic,96702.94,Trail,225.52,38.15,99.61
 Vario 125,2012.3,23324.62,Kopling,58017.47,Trail,224.09,46.72,91.75
